Code lexique383;Code simplifie;Rendu / Son;Code auditif;Code visuel;Exemple;Catégorie
a;a;a;a;;chat;Voyelle
i;i;i;i;;lit;Voyelle
e;e;é;e;;blé;Voyelle
E;e;è;e;;mer;Voyelle
o;o;o;o;;mot;Voyelle
O;o;o;o;;botte;Voyelle
u;u;ou;u;;genou;Voyelle
y;y;u;y;;tu;Voyelle
°;e;e;e;;le (schwa);Voyelle
2;e;eu;e;;peu;Voyelle
9;e;eu;e;;peur;Voyelle
@;@;an;$;;maman;Nasale
1;1;in;$;;pain;Nasale
§;§;on;$;;pont;Nasale
5;1;un;$;;brun;Nasale
S;ch;ch;£;;chat;Consonne spéciale
Z;j;j;£;;je;Consonne spéciale
R;r;r;r;;rose;Consonne spéciale
N;ni;gn;ni;;agneau;Consonne spéciale
G;ng;ng;ng;;parking;Consonne spéciale
j;i;y;i;;yeux;Semi-voyelle
8;yi;u;yi;;huit;Semi-voyelle
w;w;ou;w;;oui;Semi-voyelle
b;b;b;%;;bas;Consonne standard
d;d;d;#;;dos;Consonne standard
f;f;f;?;;fort;Consonne standard
g;g;g;&;;gare;Consonne standard
k;k;k;&;;kilo;Consonne standard
l;l;l;l;;lac;Consonne standard
m;m;m;€;;mur;Consonne standard
n;n;n;€;;nom;Consonne standard
p;p;p;%;;pas;Consonne standard
s;s;s;!;;sel;Consonne standard
t;t;t;#;;tout;Consonne standard
v;v;v;?;;vent;Consonne standard
z;z;z;!;;zoo;Consonne standard